700C 20 sec	
[nm]	[atom/cm3]
0.08	1.353E+20
0.19	4.894E+19
0.29	2.585E+19
0.39	1.772E+19
0.50	1.355E+19
0.60	1.423E+19
0.70	9.834E+18
0.81	7.584E+18
0.91	5.883E+18
1.01	5.822E+18
1.12	5.984E+18
1.22	5.035E+18
1.32	4.458E+18
1.43	5.363E+18
1.53	5.508E+18
1.63	4.661E+18
1.74	4.427E+18
1.84	4.179E+18
1.94	3.183E+18
2.05	3.321E+18
2.15	3.456E+18
2.25	3.608E+18
2.36	3.486E+18
2.46	2.579E+18
2.57	3.878E+18
2.67	2.997E+18
2.77	4.435E+18
2.88	3.935E+18
2.98	3.814E+18
3.08	3.816E+18
3.19	2.246E+18
3.29	3.175E+18
3.39	3.842E+18
3.50	4.884E+18
3.60	3.840E+18
3.70	3.326E+18
3.81	3.598E+18
3.91	3.881E+18
4.01	3.759E+18
4.12	3.087E+18
4.22	5.098E+18
4.32	5.375E+18
4.43	4.175E+18
4.53	3.649E+18
4.63	3.525E+18
4.74	4.603E+18
4.84	5.286E+18
4.94	5.963E+18
5.05	6.252E+18
5.15	4.900E+18
5.25	5.856E+18
5.36	5.458E+18
5.46	4.628E+18
5.57	4.779E+18
5.67	4.928E+18
5.77	4.935E+18
5.88	5.627E+18
5.98	7.272E+18
6.08	4.807E+18
6.19	5.076E+18
6.29	6.701E+18
6.39	5.227E+18
6.50	7.311E+18
6.60	7.438E+18
6.70	5.248E+18
6.81	6.495E+18
6.91	5.412E+18
7.01	7.761E+18
7.12	9.419E+18
7.22	6.277E+18
7.32	7.663E+18
7.43	7.485E+18
7.53	6.246E+18
7.63	6.823E+18
7.74	5.702E+18
7.84	7.235E+18
7.94	6.974E+18
8.05	6.279E+18
8.15	9.207E+18
8.25	1.046E+19
8.36	7.671E+18
8.46	7.810E+18
8.56	9.390E+18
8.67	1.035E+19
8.77	7.966E+18
8.88	7.567E+18
8.98	8.682E+18
9.08	9.535E+18
9.19	9.412E+18
9.29	8.311E+18
9.39	1.250E+19
9.50	8.998E+18
9.60	9.174E+18
9.70	1.069E+19
9.81	1.123E+19
9.91	1.046E+19
10.01	1.243E+19
10.12	9.867E+18
10.22	9.843E+18
10.32	1.030E+19
10.43	1.091E+19
10.53	1.103E+19
10.63	9.736E+18
10.74	1.341E+19
10.84	1.260E+19
10.94	1.203E+19
11.05	1.441E+19
11.15	1.286E+19
11.25	1.490E+19
11.36	1.152E+19
11.46	1.262E+19
11.56	1.503E+19
11.67	1.194E+19
11.77	1.237E+19
11.87	1.292E+19
11.98	1.606E+19
12.08	1.544E+19
12.19	1.529E+19
12.29	1.824E+19
12.39	1.399E+19
12.50	1.456E+19
12.60	1.754E+19
12.70	1.672E+19
12.81	1.784E+19
12.91	1.662E+19
13.01	1.564E+19
13.12	1.738E+19
13.22	1.869E+19
13.32	2.102E+19
13.43	1.697E+19
13.53	1.851E+19
13.63	2.123E+19
13.74	2.123E+19
13.84	2.416E+19
13.94	1.845E+19
14.05	2.005E+19
14.15	2.418E+19
14.25	2.427E+19
14.36	2.319E+19
14.46	2.063E+19
14.56	2.249E+19
14.67	2.362E+19
14.77	2.334E+19
14.87	2.267E+19
14.98	2.553E+19
15.08	2.366E+19
15.18	2.090E+19
15.29	2.235E+19
15.39	2.559E+19
15.50	2.646E+19
15.60	2.384E+19
15.70	3.025E+19
15.81	2.636E+19
15.91	3.069E+19
16.01	2.808E+19
16.12	3.028E+19
16.22	3.136E+19
16.32	3.244E+19
16.43	3.410E+19
16.53	3.078E+19
16.63	3.453E+19
16.74	3.514E+19
16.84	3.788E+19
16.94	3.540E+19
17.05	3.552E+19
17.15	3.501E+19
17.25	3.551E+19
17.36	3.967E+19
17.46	3.937E+19
17.56	3.463E+19
17.67	3.464E+19
17.77	3.878E+19
17.87	3.889E+19
17.98	4.539E+19
18.08	4.311E+19
18.18	3.857E+19
18.29	4.333E+19
18.39	4.439E+19
18.50	4.120E+19
18.60	4.485E+19
18.70	4.945E+19
18.81	4.488E+19
18.91	4.502E+19
19.01	4.976E+19
19.12	4.899E+19
19.22	5.250E+19
19.32	5.133E+19
19.43	4.990E+19
19.53	5.387E+19
19.63	5.054E+19
19.74	6.287E+19
19.84	5.400E+19
19.94	5.480E+19
20.05	5.194E+19
20.15	6.144E+19
20.25	5.738E+19
20.36	6.374E+19
20.46	6.118E+19
20.56	6.214E+19
20.67	6.336E+19
20.77	6.958E+19
20.87	7.201E+19
20.98	7.298E+19
21.08	8.246E+19
21.18	8.218E+19
21.29	8.638E+19
21.39	8.775E+19
21.49	9.816E+19
21.60	9.889E+19
21.70	1.091E+20
21.81	1.109E+20
21.91	1.183E+20
22.01	1.166E+20
22.12	1.248E+20
22.22	1.352E+20
22.32	1.451E+20
22.43	1.477E+20
22.53	1.519E+20
22.63	1.627E+20
22.74	1.750E+20
22.84	1.897E+20
22.94	1.938E+20
23.05	2.115E+20
23.15	2.305E+20
23.25	2.359E+20
23.36	2.546E+20
23.46	2.788E+20
23.56	3.045E+20
23.67	3.132E+20
23.77	3.387E+20
23.87	3.695E+20
23.98	4.132E+20
24.08	4.404E+20
24.18	4.489E+20
24.29	5.054E+20
24.39	5.471E+20
24.49	5.763E+20
24.60	5.952E+20
24.70	6.475E+20
24.80	6.729E+20
24.91	7.263E+20
25.01	7.633E+20
25.12	7.711E+20
25.22	8.106E+20
25.32	8.408E+20
25.43	8.311E+20
25.53	8.407E+20
25.63	8.323E+20
25.74	8.257E+20
25.84	8.095E+20
25.94	8.175E+20
26.05	7.695E+20
26.15	7.669E+20
26.25	7.455E+20
26.36	6.863E+20
26.46	6.715E+20
26.56	6.455E+20
26.67	5.992E+20
26.77	5.714E+20
26.87	5.236E+20
26.98	4.772E+20
27.08	4.346E+20
27.18	4.206E+20
27.29	3.834E+20
27.39	3.467E+20
27.49	3.157E+20
27.60	2.892E+20
27.70	2.591E+20
27.80	2.269E+20
27.91	2.158E+20
28.01	1.921E+20
28.11	1.794E+20
28.22	1.501E+20
28.32	1.361E+20
28.43	1.201E+20
28.53	1.098E+20
28.63	9.580E+19
28.74	9.017E+19
28.84	7.528E+19
28.94	6.899E+19
29.05	5.510E+19
29.15	4.866E+19
29.25	4.719E+19
29.36	4.481E+19
29.46	3.479E+19
29.56	3.116E+19
29.67	2.881E+19
29.77	2.275E+19
29.87	2.396E+19
29.98	1.941E+19
30.08	1.554E+19
30.18	1.380E+19
30.29	1.594E+19
30.39	1.241E+19
30.49	1.225E+19
30.60	1.160E+19
30.70	6.982E+18
30.80	1.091E+19
30.91	6.405E+18
31.01	5.822E+18
31.11	7.450E+18
31.22	6.275E+18
31.32	5.555E+18
31.43	6.750E+18
31.53	6.011E+18
31.63	5.436E+18
31.74	6.398E+18
31.84	5.956E+18
31.94	4.544E+18
32.05	3.969E+18
32.15	3.857E+18
32.25	4.304E+18
32.36	4.433E+18
32.46	4.122E+18
32.56	4.238E+18
32.67	4.439E+18
32.77	3.874E+18
32.87	3.504E+18
32.98	4.021E+18
33.08	3.785E+18
33.18	3.105E+18
33.29	3.365E+18
33.39	4.798E+18
33.49	4.422E+18
33.60	3.521E+18
33.70	3.207E+18
33.80	3.510E+18
33.91	3.115E+18
34.01	3.681E+18
34.11	4.075E+18
34.22	4.034E+18
34.32	3.145E+18
34.42	2.735E+18
34.53	2.895E+18
34.63	2.941E+18
34.74	2.840E+18
34.84	2.510E+18
34.94	2.836E+18
35.05	2.768E+18
35.15	3.163E+18
35.25	3.272E+18
35.36	3.806E+18
35.46	3.814E+18
35.56	3.663E+18
35.67	2.559E+18
35.77	2.140E+18
35.87	2.177E+18
35.98	2.248E+18
36.08	2.197E+18
36.18	2.482E+18
36.29	2.747E+18
36.39	2.272E+18
36.49	1.915E+18
36.60	2.252E+18
36.70	2.984E+18
36.80	2.475E+18
36.91	2.136E+18
37.01	2.411E+18
37.11	3.301E+18
37.22	2.873E+18
37.32	1.898E+18
37.42	1.210E+18
37.53	1.832E+18
37.63	2.584E+18
37.73	2.784E+18
37.84	2.448E+18
37.94	2.132E+18
38.05	2.297E+18
38.15	1.909E+18
38.25	1.745E+18
38.36	1.487E+18
38.46	1.950E+18
38.56	1.570E+18
38.67	1.253E+18
38.77	1.606E+18
38.87	1.762E+18
38.98	1.853E+18
39.08	1.765E+18
39.18	2.299E+18
39.29	2.067E+18
39.39	2.181E+18
39.49	2.000E+18
39.60	2.000E+18
39.70	1.403E+18
39.80	1.569E+18
39.91	1.399E+18
40.01	1.471E+18
40.11	1.234E+18
40.22	1.265E+18
40.32	1.299E+18
40.42	1.538E+18
40.53	2.251E+18
40.63	2.687E+18
40.73	2.597E+18
40.84	1.833E+18
40.94	1.285E+18
41.04	1.249E+18
41.15	1.145E+18
41.25	1.170E+18
41.36	1.108E+18
41.46	1.081E+18
41.56	7.952E+17
41.67	5.500E+17
41.77	1.205E+18
41.87	1.921E+18
41.98	1.911E+18
42.08	1.296E+18
42.18	9.450E+17
42.29	1.048E+18
42.39	1.485E+18
42.49	1.866E+18
42.60	2.064E+18
42.70	1.995E+18
42.80	1.402E+18
42.91	7.860E+17
43.01	7.518E+17
43.11	1.006E+18
43.22	9.980E+17
43.32	1.195E+18
43.42	1.168E+18
43.53	7.626E+17
43.63	7.390E+17
43.73	9.128E+17
43.84	1.183E+18
43.94	1.014E+18
44.04	9.016E+17
44.15	9.010E+17
44.25	7.261E+17
44.36	5.841E+17
44.46	6.156E+17
44.56	7.907E+17
44.67	1.016E+18
44.77	1.096E+18
44.87	9.979E+17
44.98	6.536E+17
45.08	7.471E+17
45.18	7.831E+17
45.29	5.474E+17
45.39	5.625E+17
45.49	6.901E+17
45.60	9.609E+17
45.70	9.939E+17
45.80	8.452E+17
45.91	7.261E+17
46.01	6.940E+17
46.11	8.195E+17
46.22	5.851E+17
46.32	5.756E+17
46.42	3.990E+17
46.53	3.665E+17
46.63	2.602E+17
46.73	2.767E+17
46.84	6.305E+17
46.94	8.029E+17
47.04	8.057E+17
47.15	5.363E+17
47.25	3.567E+17
47.35	2.969E+17
