700C 20 sec	
47.46	6.596E+17
47.56	1.257E+18
47.67	1.320E+18
47.77	8.976E+17
47.87	4.809E+17
47.98	4.369E+17
48.08	6.124E+17
48.18	6.750E+17
48.29	5.242E+17
48.39	5.318E+17
48.49	6.806E+17
48.60	6.891E+17
48.70	5.590E+17
48.80	3.199E+17
48.91	7.495E+17
49.01	6.066E+17
49.11	5.825E+17
49.22	2.681E+17
49.32	4.061E+17
49.42	3.138E+17
49.53	3.189E+17
49.63	2.421E+17
49.73	3.221E+17
49.84	6.827E+17
49.94	6.746E+17
50.04	3.696E+17
50.15	2.693E+17
50.25	5.750E+17
50.35	6.221E+17
50.46	4.277E+17
50.56	2.563E+17
50.66	2.224E+17
50.77	6.000E+16
50.87	6.000E+16
50.98	4.385E+17
51.08	5.979E+17
51.18	3.199E+17
51.29	6.000E+16
51.39	6.000E+16
51.49	1.843E+17
51.60	3.750E+17
51.70	3.634E+17
51.80	3.594E+17
51.91	4.374E+17
52.01	3.236E+17
52.11	1.201E+17
52.22	2.868E+17
52.32	8.338E+17
52.42	6.466E+17
52.53	1.893E+17
52.63	2.838E+17
52.73	5.782E+17
52.84	4.384E+17
52.94	1.925E+17
53.04	1.841E+17
53.15	2.604E+17
53.25	3.503E+17
53.35	2.885E+17
53.46	6.000E+16
53.56	6.000E+16
53.66	9.075E+16
53.77	1.548E+17
53.87	1.762E+17
53.97	2.741E+17
54.08	4.606E+17
54.18	3.267E+17
54.29	1.622E+17
54.39	1.987E+17
54.49	2.646E+17
54.60	2.586E+17
54.70	2.782E+17
54.80	3.112E+17
54.91	1.117E+17
55.01	1.493E+17
55.11	2.453E+17
55.22	4.250E+17
55.32	3.787E+17
55.42	2.695E+17
55.53	2.335E+17
55.63	2.283E+17
55.73	1.454E+17
55.84	6.000E+16
55.94	6.000E+16
56.04	6.000E+16
56.15	2.139E+17
56.25	1.869E+17
56.35	6.000E+16
56.46	6.000E+16
56.56	7.897E+16
56.66	3.488E+17
56.77	5.366E+17
56.87	3.928E+17
56.97	1.326E+17
57.08	6.000E+16
57.18	6.000E+16
57.29	1.592E+17
57.39	2.477E+17
57.49	1.348E+17
57.60	6.000E+16
57.70	6.078E+16
57.80	2.621E+17
57.91	2.704E+17
58.01	3.466E+17
58.11	4.471E+17
58.22	5.160E+17
58.32	2.216E+17
58.42	6.000E+16
58.53	2.125E+17
58.63	3.696E+17
58.73	4.130E+17
58.84	1.877E+17
58.94	1.503E+17
59.04	1.884E+17
59.15	2.735E+17
59.25	2.384E+17
59.35	2.407E+17
59.46	2.310E+17
59.56	1.397E+17
59.66	6.000E+16
59.77	6.000E+16
59.87	1.579E+17
59.97	3.010E+17
60.08	2.182E+17
60.18	6.000E+16
60.31	6.000E+16
