Depth[nm]	C[atom/cm3]
2.81634E+01	3.88212E+19
2.83053E+01	4.23190E+19
2.84472E+01	4.21944E+19
2.85890E+01	4.30665E+19
2.87309E+01	4.60666E+19
2.88728E+01	4.30710E+19
2.90147E+01	4.81960E+19
2.91565E+01	4.99442E+19
2.92984E+01	4.89430E+19
2.94403E+01	5.43181E+19
2.95822E+01	4.69417E+19
2.97241E+01	5.33215E+19
2.98659E+01	5.75758E+19
3.00078E+01	6.09466E+19
3.01497E+01	5.95702E+19
3.02916E+01	6.63213E+19
3.04334E+01	7.15783E+19
3.05753E+01	7.75809E+19
3.07172E+01	7.74548E+19
3.08591E+01	8.84592E+19
3.10010E+01	9.68419E+19
3.11428E+01	1.03846E+20
3.12847E+01	1.25985E+20
3.14266E+01	1.44497E+20
3.15685E+01	1.86276E+20
3.17103E+01	2.25928E+20
3.18522E+01	2.93098E+20
3.19941E+01	3.51638E+20
3.21360E+01	4.31443E+20
3.22778E+01	5.33513E+20
3.24197E+01	6.47342E+20
3.25616E+01	7.57043E+20
3.27035E+01	8.80004E+20
3.28454E+01	9.88330E+20
3.29872E+01	1.01610E+21
3.31291E+01	1.04550E+21
3.32710E+01	1.11867E+21
3.34129E+01	1.22800E+21
3.35547E+01	1.34733E+21
3.36966E+01	1.36973E+21
3.38385E+01	1.32182E+21
3.39804E+01	1.23838E+21
3.41223E+01	1.16458E+21
3.42641E+01	1.07877E+21
3.44060E+01	9.78448E+20
3.45479E+01	8.58239E+20
3.46898E+01	7.50289E+20
3.48316E+01	6.59100E+20
3.49735E+01	5.52151E+20
3.51154E+01	4.83104E+20
3.52573E+01	3.81534E+20
3.53992E+01	3.25621E+20
3.55410E+01	2.60701E+20
3.56829E+01	2.12418E+20
3.58248E+01	1.76144E+20
3.59667E+01	1.42621E+20
3.61085E+01	1.12602E+20
3.62504E+01	9.37133E+19
3.63923E+01	7.89568E+19
3.65342E+01	6.04468E+19
3.66760E+01	5.31959E+19
3.68179E+01	4.20704E+19
3.69598E+01	3.03229E+19
3.71017E+01	2.89435E+19
3.72436E+01	2.39486E+19
3.73854E+01	2.40767E+19
3.75273E+01	1.72071E+19
3.76692E+01	1.38378E+19
3.78111E+01	1.32104E+19
3.79529E+01	1.25860E+19
3.80948E+01	1.18400E+19
3.82367E+01	7.59459E+18
3.83786E+01	8.09493E+18
3.85205E+01	7.84676E+18
3.86623E+01	7.72368E+18
3.88042E+01	7.22384E+18
3.89461E+01	5.22700E+18
3.90880E+01	6.97468E+18
3.92298E+01	5.47617E+18
3.93717E+01	4.22983E+18
3.95136E+01	4.85224E+18
3.96555E+01	5.35308E+18
3.97973E+01	3.97966E+18
3.99392E+01	4.10474E+18
4.00811E+01	3.73199E+18
4.02230E+01	4.35391E+18
4.03649E+01	3.10757E+18
4.05067E+01	2.60923E+18
4.06486E+01	3.97966E+18
4.07905E+01	3.10757E+18
4.09324E+01	3.85607E+18
4.10742E+01	4.22983E+18
4.12161E+01	2.23498E+18
4.13580E+01	3.98066E+18
4.14999E+01	3.85457E+18
4.16418E+01	2.35956E+18
4.17836E+01	3.85607E+18
4.19255E+01	2.23598E+18
4.20674E+01	2.11040E+18
4.22093E+01	2.85840E+18
4.23511E+01	1.86123E+18
4.24930E+01	2.98248E+18
4.26349E+01	1.98581E+18
4.27768E+01	2.11090E+18
4.29186E+01	1.73664E+18
4.30605E+01	1.73664E+18
4.32024E+01	8.64556E+17
4.33443E+01	2.48515E+18
4.34862E+01	1.48798E+18
4.36280E+01	2.23598E+18
4.37699E+01	1.36339E+18
4.39118E+01	4.90804E+17
4.40537E+01	2.48415E+18
4.41955E+01	1.86223E+18
4.43374E+01	2.48515E+18
4.44793E+01	1.23831E+18
4.46212E+01	2.48415E+18
4.47631E+01	2.85840E+18
4.49049E+01	1.11422E+18
4.50468E+01	1.48748E+18
4.51887E+01	9.89140E+17
4.53306E+01	1.48798E+18
4.54724E+01	1.23881E+18
4.56143E+01	1.61256E+18
4.57562E+01	7.39972E+17
4.58981E+01	1.61306E+18
4.60399E+01	1.23831E+18
4.61818E+01	1.61306E+18
4.63237E+01	1.86223E+18
4.64656E+01	1.48798E+18
4.66075E+01	7.39972E+17
4.67493E+01	1.11472E+18
4.68912E+01	9.89140E+17
4.70331E+01	1.11422E+18
4.72444E+01	1.36289E+18
