800C 20 sec	
18.26	1.044E+20
18.37	1.139E+20
18.49	1.105E+20
18.61	1.160E+20
18.73	1.127E+20
18.84	1.211E+20
18.96	1.242E+20
19.08	1.258E+20
19.20	1.240E+20
19.31	1.379E+20
19.43	1.296E+20
19.55	1.328E+20
19.66	1.278E+20
19.78	1.368E+20
19.90	1.419E+20
20.02	1.392E+20
20.13	1.475E+20
20.25	1.462E+20
20.37	1.558E+20
20.48	1.538E+20
20.60	1.571E+20
20.72	1.625E+20
20.84	1.630E+20
20.95	1.644E+20
21.07	1.674E+20
21.19	1.648E+20
21.31	1.708E+20
21.42	1.744E+20
21.54	1.696E+20
21.66	1.775E+20
21.77	1.757E+20
21.89	1.815E+20
22.01	1.741E+20
22.13	1.924E+20
22.24	1.861E+20
22.36	1.859E+20
22.48	2.041E+20
22.59	1.922E+20
22.71	1.868E+20
22.83	1.942E+20
22.95	1.949E+20
23.06	2.010E+20
23.18	2.040E+20
23.30	2.048E+20
23.42	2.078E+20
23.53	2.087E+20
23.65	2.182E+20
23.77	2.137E+20
23.88	2.132E+20
24.00	2.213E+20
24.12	2.178E+20
24.24	2.215E+20
24.35	2.252E+20
24.47	2.284E+20
24.59	2.335E+20
24.70	2.284E+20
24.82	2.410E+20
24.94	2.466E+20
25.06	2.532E+20
25.17	2.521E+20
25.29	2.507E+20
25.41	2.570E+20
25.53	2.661E+20
25.64	2.691E+20
25.76	2.858E+20
25.88	2.858E+20
25.99	2.750E+20
26.11	2.735E+20
26.23	2.833E+20
26.35	2.771E+20
26.46	2.727E+20
26.58	2.833E+20
26.70	2.773E+20
26.82	2.738E+20
26.93	2.778E+20
27.05	2.671E+20
27.17	2.751E+20
27.28	2.639E+20
27.40	2.624E+20
27.52	2.582E+20
27.64	2.572E+20
27.75	2.543E+20
27.87	2.452E+20
27.99	2.451E+20
28.10	2.417E+20
28.22	2.352E+20
28.34	2.308E+20
28.46	2.161E+20
28.57	2.313E+20
28.69	2.191E+20
28.81	2.205E+20
28.93	2.072E+20
29.04	2.149E+20
29.16	2.125E+20
29.28	2.117E+20
29.39	2.003E+20
29.51	2.021E+20
29.63	1.937E+20
29.75	1.978E+20
29.86	1.860E+20
29.98	1.854E+20
30.10	1.783E+20
30.21	1.852E+20
30.33	1.816E+20
30.45	1.735E+20
30.57	1.778E+20
30.68	1.694E+20
30.80	1.724E+20
30.92	1.635E+20
31.04	1.660E+20
31.15	1.651E+20
31.27	1.609E+20
31.39	1.562E+20
31.50	1.530E+20
31.62	1.422E+20
31.74	1.431E+20
31.86	1.475E+20
31.97	1.463E+20
32.09	1.363E+20
32.21	1.338E+20
32.33	1.301E+20
32.44	1.240E+20
32.56	1.177E+20
32.68	1.241E+20
32.79	1.214E+20
32.91	1.111E+20
33.03	1.140E+20
33.15	1.008E+20
33.26	9.999E+19
33.38	1.017E+20
33.50	9.265E+19
33.61	8.287E+19
33.73	7.744E+19
33.85	7.657E+19
33.97	6.977E+19
34.08	6.480E+19
34.20	5.899E+19
34.32	5.602E+19
34.44	5.479E+19
34.55	4.752E+19
34.67	4.376E+19
34.79	3.999E+19
34.90	3.695E+19
35.02	3.231E+19
35.14	2.578E+19
35.26	2.712E+19
35.37	2.726E+19
35.49	2.304E+19
35.61	1.889E+19
35.72	1.652E+19
35.84	1.499E+19
35.96	1.523E+19
36.08	1.319E+19
36.19	1.329E+19
36.31	9.886E+18
36.43	1.007E+19
36.55	7.821E+18
36.66	7.640E+18
36.78	6.742E+18
36.90	4.460E+18
37.01	5.975E+18
37.13	6.186E+18
37.25	4.956E+18
37.37	3.440E+18
37.48	3.554E+18
37.60	3.950E+18
37.72	3.135E+18
37.83	4.163E+18
37.95	3.829E+18
38.07	3.054E+18
38.19	2.376E+18
38.30	2.385E+18
38.42	2.723E+18
38.54	2.950E+18
38.66	2.954E+18
38.77	2.579E+18
38.89	2.741E+18
39.01	2.554E+18
39.12	2.533E+18
39.24	2.271E+18
39.36	2.612E+18
39.48	2.291E+18
39.59	1.958E+18
39.71	1.705E+18
39.83	1.676E+18
39.95	1.796E+18
40.06	1.824E+18
40.18	1.851E+18
40.30	1.327E+18
40.41	1.381E+18
40.53	1.378E+18
40.65	1.463E+18
40.77	1.546E+18
40.88	1.507E+18
41.00	1.480E+18
41.12	1.769E+18
41.23	1.728E+18
41.35	1.481E+18
41.47	1.246E+18
41.59	1.317E+18
41.70	1.153E+18
41.82	1.239E+18
41.94	1.289E+18
42.06	1.384E+18
42.17	1.272E+18
42.29	1.072E+18
42.41	6.725E+17
42.52	1.018E+18
42.64	9.389E+17
42.76	1.377E+18
42.88	1.542E+18
42.99	1.728E+18
43.11	1.126E+18
43.23	8.137E+17
43.34	7.659E+17
43.46	8.853E+17
43.58	8.814E+17
43.70	9.275E+17
43.81	1.054E+18
43.93	9.739E+17
44.05	8.424E+17
44.17	8.653E+17
44.28	7.557E+17
44.40	4.000E+17
44.52	5.998E+17
44.63	8.544E+17
44.75	8.628E+17
44.87	7.804E+17
44.99	6.117E+17
45.10	8.921E+17
45.22	1.128E+18
45.34	1.544E+18
45.45	1.145E+18
45.57	9.860E+17
45.69	7.914E+17
45.81	1.057E+18
45.92	8.200E+17
46.04	5.770E+17
46.16	3.882E+17
46.28	4.423E+17
46.39	5.146E+17
46.51	5.680E+17
46.63	8.022E+17
46.74	7.436E+17
46.86	6.532E+17
46.98	4.654E+17
47.10	6.892E+17
47.21	7.549E+17
47.33	4.635E+17
47.45	2.578E+17
47.57	2.507E+17
47.68	2.408E+17
47.80	3.502E+17
47.92	5.559E+17
48.03	6.667E+17
48.15	7.237E+17
48.27	6.379E+17
48.39	3.862E+17
48.50	3.778E+17
48.62	4.545E+17
48.74	4.676E+17
48.85	6.156E+17
48.97	8.288E+17
49.09	6.761E+17
49.21	3.893E+17
49.32	4.437E+17
49.44	4.580E+17
49.56	3.592E+17
49.68	3.130E+17
49.79	4.559E+17
49.91	3.958E+17
50.03	3.836E+17
50.14	3.485E+17
50.26	5.200E+17
50.38	4.745E+17
50.50	5.780E+17
50.61	3.825E+17
50.73	3.599E+17
50.85	4.615E+17
50.96	5.544E+17
51.08	4.048E+17
51.20	2.556E+17
51.32	2.478E+17
51.43	2.481E+17
51.55	1.798E+17
51.67	1.989E+17
51.79	1.804E+17
51.90	2.317E+17
52.02	3.089E+17
52.14	4.043E+17
52.25	4.463E+17
52.37	4.917E+17
52.49	5.027E+17
52.61	5.300E+17
52.72	4.224E+17
52.84	2.553E+17
52.96	1.421E+17
53.08	1.721E+17
53.19	9.760E+16
53.31	8.030E+16
53.43	1.336E+17
53.54	1.739E+17
53.66	1.715E+17
53.78	2.236E+17
53.90	2.900E+17
54.01	2.308E+17
54.13	2.316E+17
54.25	1.905E+17
54.36	1.855E+17
54.48	1.246E+17
54.60	1.455E+17
54.72	1.891E+17
54.83	1.822E+17
54.95	1.877E+17
55.07	1.448E+17
55.19	1.247E+17
55.30	1.869E+17
55.42	1.976E+17
55.54	2.088E+17
55.65	1.689E+17
55.77	9.489E+16
55.89	8.365E+16
56.01	1.498E+17
56.12	1.138E+17
56.24	6.000E+16
56.36	1.127E+17
56.47	2.364E+17
56.59	2.025E+17
56.71	1.762E+17
56.83	7.166E+16
56.94	8.477E+16
57.06	1.337E+17
57.18	1.396E+17
57.30	6.000E+16
57.41	6.000E+16
57.53	1.822E+17
57.65	2.323E+17
57.76	1.106E+17
57.88	2.474E+17
58.00	4.269E+17
58.12	3.966E+17
58.23	1.461E+17
58.35	6.000E+16
58.47	6.000E+16
58.58	6.000E+16
58.70	6.000E+16
58.82	1.281E+17
58.94	1.979E+17
59.05	1.914E+17
59.17	1.539E+17
59.29	1.069E+17
59.41	7.644E+16
59.52	6.000E+16
59.64	6.000E+16
59.76	1.278E+17
59.87	1.643E+17
59.99	1.386E+17
60.11	1.145E+17
60.23	1.333E+17
60.34	1.446E+17
60.46	2.363E+17
60.58	1.827E+17
60.70	6.000E+16
60.81	6.000E+16
60.93	6.000E+16
61.05	6.000E+16
61.16	6.000E+16
61.28	1.493E+17
61.40	2.441E+17
61.52	1.848E+17
61.63	6.000E+16
61.75	6.000E+16
61.87	6.000E+16
61.98	6.000E+16
62.10	6.000E+16
62.22	1.065E+17
62.34	7.969E+16
62.45	6.000E+16
62.57	1.006E+17
62.69	8.768E+16
62.81	6.000E+16
62.92	6.000E+16
63.04	6.000E+16
63.16	8.489E+16
63.27	9.569E+16
63.39	9.880E+16
63.51	9.471E+16
63.63	7.900E+16
63.74	6.000E+16
63.86	8.975E+16
63.98	1.605E+17
64.09	9.868E+16
64.21	6.000E+16
64.33	6.000E+16
64.45	6.000E+16
64.56	6.000E+16
64.71	1.828E+17
