800C 20 sec	
[nm]	[atom/cm3]
0.09	6.279E+20
0.20	1.128E+20
0.32	4.156E+19
0.44	2.342E+19
0.56	1.746E+19
0.67	1.304E+19
0.79	1.159E+19
0.91	9.021E+18
1.02	7.357E+18
1.14	6.612E+18
1.26	6.242E+18
1.38	6.048E+18
1.49	5.380E+18
1.61	3.164E+18
1.73	3.090E+18
1.84	2.921E+18
1.96	3.455E+18
2.08	3.559E+18
2.20	3.593E+18
2.31	2.906E+18
2.43	2.626E+18
2.55	3.161E+18
2.67	3.528E+18
2.78	4.423E+18
2.90	3.382E+18
3.02	2.503E+18
3.13	3.494E+18
3.25	3.404E+18
3.37	4.138E+18
3.49	2.879E+18
3.60	3.995E+18
3.72	3.912E+18
3.84	3.731E+18
3.95	4.476E+18
4.07	4.016E+18
4.19	4.642E+18
4.31	3.262E+18
4.42	4.091E+18
4.54	3.737E+18
4.66	4.488E+18
4.78	4.314E+18
4.89	4.513E+18
5.01	4.427E+18
5.13	5.278E+18
5.24	5.394E+18
5.36	4.354E+18
5.48	4.248E+18
5.60	5.165E+18
5.71	4.227E+18
5.83	5.277E+18
5.95	4.084E+18
6.07	4.847E+18
6.18	5.430E+18
6.30	4.411E+18
6.42	6.388E+18
6.53	4.560E+18
6.65	5.880E+18
6.77	6.331E+18
6.89	6.399E+18
7.00	5.508E+18
7.12	6.463E+18
7.24	6.662E+18
7.35	6.305E+18
7.47	5.650E+18
7.59	6.612E+18
7.71	6.907E+18
7.82	6.054E+18
7.94	6.998E+18
8.06	6.719E+18
8.18	7.618E+18
8.29	6.205E+18
8.41	7.535E+18
8.53	7.427E+18
8.64	9.154E+18
8.76	7.441E+18
8.88	8.333E+18
9.00	9.874E+18
9.11	7.629E+18
9.23	7.269E+18
9.35	1.035E+19
9.46	9.369E+18
9.58	8.056E+18
9.70	9.591E+18
9.82	9.270E+18
9.93	9.595E+18
10.05	1.053E+19
10.17	1.151E+19
10.29	1.047E+19
10.40	9.474E+18
10.52	1.125E+19
10.64	1.168E+19
10.75	1.252E+19
10.87	1.204E+19
10.99	1.101E+19
11.11	1.133E+19
11.22	1.162E+19
11.34	1.149E+19
11.46	1.317E+19
11.57	1.304E+19
11.69	1.337E+19
11.81	1.239E+19
11.93	1.439E+19
12.04	1.425E+19
12.16	1.679E+19
12.28	1.626E+19
12.40	1.337E+19
12.51	1.559E+19
12.63	1.546E+19
12.75	1.627E+19
12.86	1.798E+19
12.98	1.580E+19
13.10	1.850E+19
13.22	1.949E+19
13.33	1.691E+19
13.45	1.896E+19
13.57	2.070E+19
13.69	2.159E+19
13.80	2.113E+19
13.92	2.445E+19
14.04	2.495E+19
14.15	2.368E+19
14.27	2.302E+19
14.39	2.249E+19
14.51	2.761E+19
14.62	3.018E+19
14.74	2.747E+19
14.86	3.021E+19
14.97	3.205E+19
15.09	3.421E+19
15.21	3.731E+19
15.33	3.829E+19
15.44	3.946E+19
15.56	3.826E+19
15.68	4.128E+19
15.80	4.507E+19
15.91	4.689E+19
16.03	5.343E+19
16.15	5.175E+19
16.26	5.614E+19
16.38	6.224E+19
16.50	6.832E+19
16.62	6.257E+19
16.73	6.792E+19
16.85	7.451E+19
16.97	7.541E+19
17.08	7.953E+19
17.20	7.780E+19
17.32	8.102E+19
17.44	8.196E+19
17.55	9.123E+19
17.67	9.322E+19
17.79	9.596E+19
17.91	9.721E+19
18.02	1.042E+20
18.14	1.030E+20
