Distance,3min,3min_sim,6min,6min_sim,10min,10min_sim,15min,15min_sim,50min_sim,100min_sim,200min_sim,
5.44538e+01,1.95438e+01,1.95562e+01,1.94694e+01,1.95219e+01,1.93954e+01,1.94929e+01,1.93777e+01,1.94671e+01,1.93485e+01,1.92437e+01,1.91190e+01,
5.49638e+01,1.95365e+01,1.95502e+01,1.94601e+01,1.95157e+01,1.93768e+01,1.94871e+01,1.93691e+01,1.94619e+01,1.93459e+01,1.92423e+01,1.91182e+01,
5.54369e+01,1.95296e+01,1.95443e+01,1.94512e+01,1.95097e+01,1.93589e+01,1.94816e+01,1.93610e+01,1.94570e+01,1.93435e+01,1.92409e+01,1.91175e+01,
5.60337e+01,1.95207e+01,1.95364e+01,1.94388e+01,1.95019e+01,1.93351e+01,1.94743e+01,1.93505e+01,1.94506e+01,1.93404e+01,1.92391e+01,1.91165e+01,
5.65519e+01,1.95113e+01,1.95290e+01,1.94276e+01,1.94947e+01,1.93263e+01,1.94678e+01,1.93412e+01,1.94448e+01,1.93376e+01,1.92375e+01,1.91157e+01,
5.71038e+01,1.95001e+01,1.95207e+01,1.94154e+01,1.94868e+01,1.93171e+01,1.94606e+01,1.93311e+01,1.94385e+01,1.93345e+01,1.92358e+01,1.91148e+01,
5.77866e+01,1.94859e+01,1.95097e+01,1.93998e+01,1.94764e+01,1.93054e+01,1.94514e+01,1.93183e+01,1.94305e+01,1.93306e+01,1.92336e+01,1.91136e+01,
5.85137e+01,1.94701e+01,1.94971e+01,1.93826e+01,1.94649e+01,1.92926e+01,1.94412e+01,1.93041e+01,1.94217e+01,1.93263e+01,1.92312e+01,1.91123e+01,
5.90319e+01,1.94586e+01,1.94875e+01,1.93699e+01,1.94562e+01,1.92833e+01,1.94337e+01,1.92982e+01,1.94152e+01,1.93232e+01,1.92294e+01,1.91114e+01,
5.95838e+01,1.94459e+01,1.94768e+01,1.93558e+01,1.94467e+01,1.92731e+01,1.94254e+01,1.92919e+01,1.94081e+01,1.93198e+01,1.92275e+01,1.91103e+01,
6.02666e+01,1.94297e+01,1.94626e+01,1.93373e+01,1.94343e+01,1.92602e+01,1.94148e+01,1.92840e+01,1.93990e+01,1.93155e+01,1.92250e+01,1.91090e+01,
6.09937e+01,1.94087e+01,1.94464e+01,1.93166e+01,1.94205e+01,1.92460e+01,1.94030e+01,1.92754e+01,1.93890e+01,1.93107e+01,1.92224e+01,1.91076e+01,
6.16394e+01,1.93884e+01,1.94310e+01,1.92975e+01,1.94076e+01,1.92330e+01,1.93922e+01,1.92676e+01,1.93799e+01,1.93064e+01,1.92199e+01,1.91063e+01,
6.22338e+01,1.93688e+01,1.94161e+01,1.92790e+01,1.93953e+01,1.92206e+01,1.93820e+01,1.92603e+01,1.93713e+01,1.93023e+01,1.92176e+01,1.91051e+01,
6.29166e+01,1.93451e+01,1.93979e+01,1.92568e+01,1.93805e+01,1.92071e+01,1.93698e+01,1.92507e+01,1.93611e+01,1.92975e+01,1.92149e+01,1.91037e+01,
6.36437e+01,1.93184e+01,1.93773e+01,1.92318e+01,1.93641e+01,1.91982e+01,1.93563e+01,1.92372e+01,1.93499e+01,1.92923e+01,1.92119e+01,1.91021e+01,
6.41619e+01,1.92983e+01,1.93618e+01,1.92131e+01,1.93519e+01,1.91918e+01,1.93464e+01,1.92273e+01,1.93417e+01,1.92885e+01,1.92098e+01,1.91009e+01,
6.47138e+01,1.92755e+01,1.93445e+01,1.91923e+01,1.93385e+01,1.91849e+01,1.93356e+01,1.92165e+01,1.93327e+01,1.92843e+01,1.92075e+01,1.90997e+01,
6.53966e+01,1.92451e+01,1.93220e+01,1.91650e+01,1.93213e+01,1.91761e+01,1.93219e+01,1.92027e+01,1.93214e+01,1.92791e+01,1.92045e+01,1.90981e+01,
6.61238e+01,1.92102e+01,1.92967e+01,1.91340e+01,1.93022e+01,1.91666e+01,1.93067e+01,1.91876e+01,1.93090e+01,1.92734e+01,1.92013e+01,1.90964e+01,
6.66419e+01,1.91834e+01,1.92777e+01,1.91104e+01,1.92881e+01,1.91597e+01,1.92956e+01,1.91764e+01,1.92999e+01,1.92692e+01,1.91989e+01,1.90952e+01,
