AsGrown,,3min,,6min,,10min,,15min,
X,Y,X,Y,X,Y,X,Y,X,Y
71.56050956737175,1148278953762147300,89.03269680687802,371171570698879740,88.13301377774019,1171052242811881000,88.31127771414549,3699270302717243000,83.72046005427325,6973939543694643000
72.2704338609984,724738257959151100,91.63188225666019,236793567475485570,90.63547292950852,792721398853047000,92.51368692871054,2651527751280988000,87.9211280593025,5382648771882815000
72.72561505380591,467770484340066050,92.9441801585628,139816743239564600,93.31634495175348,484237320754868800,95.26099899259327,1831502058573242000,92.12092545956389,4311047249182514700
73.18378117724615,265944584491960000,91.41482541986781,389794950625503360,93.85661061234566,368750734584507650,97.86139254460156,1796721693426326500,96.37573452837037,2892235750289198000
75.07511727154383,149202404306208600,95.93897146309672,95941019688512930,97.6161613190886,317777116237174100,100.65424289112224,964991937953464700,99.05369821142656,2332819672297214000
76.76668254906602,96435318321276600,97.15503923806395,164213485766397060,99.76360644032238,214010127255497300,102.11250022404639,709348815859214100,103.38181031726273,1521145884866006500
79.50916011829074,63994021521542500,98.00562998952037,58250234099108030,101.8474457442052,136475989984231410,104.75680721245644,469731979818530560,106.20261664391776,1138192175955585900
80.59921532799649,42492325762127624,97.66848829315816,34380816301813890,101.51628511760552,70162585299484470,106.59788237013564,511298639588300900,109.32336138126749,698751473851872000
80.58319620026748,26378588307890050,96.95179919319821,18816004275080030,103.6285533116799,240818439228541380,108.53232348766451,346949694324515600,113.2736012051167,630842072793621500
81.02260977338997,17491860599814650,99.2012242622126,96733119069427900,106.23642074415636,156829250747034080,110.49235142326117,241329464979471300,116.35403900989226,380532223912982400
80.11358266056385,10962325051411122,104.75960040275342,68909191774315210,106.39199753351295,83800657813664510,113.2823132275341,317043106561329700,118.63534065062208,252030453457630940
84.69486161018023,36252498209026560,104.21750383395238,117111008356089120,107.18413794744086,46057986123071384,113.93101535016226,181221810092304130,120.17715837477002,166823163523627500
85.63152231893929,56320113274743540,106.7182434792953,45727814022932060,108.03249392681005,21510136845705028,116.12706716473426,119544954365876500,123.06513317474136,120724983498017740
84.04798552524474,20767190205429296,105.85689614211205,23464161182696784,108.21401502091342,160392172993354940,115.51534190675338,64353782933395030,124.65915868302042,179663997897285120
89.96377601602839,52858748212230210,105.65592946865755,14401596546572082,108.25232163070021,31488545616941170,117.53949799207837,330009364975617100,125.47977511098628,74187802104720100
90.49894920405626,79409875726190980,109.3094607251403,84695657349317220,,,119.17971737476753,143541189731422930,127.90832163166161,134881259523815760
92.53037149071318,30999467319630120,110.63610344006696,44551177481725390,,,120.10418508499899,46846979284813980,127.08513514392146,193881407421126180
94.32217046926482,24882620433525100,112.44624244877838,32374588685271412,,,120.20130798369243,89635030223786510,131.44257246583388,104377204216704290
97.28302803217855,40986737245521640,34.695703804232586,41346462294061770000,,,122.70218426561698,23205149478331064,133.94117187445573,53443254996934350
99.03859265337601,22991491791930960,31.22870633473287,40486099309983320000,,,124.08866381583849,61832713161014370,132.95886609650822,36242181670861670
99.1235953370765,11812107013386858,25.812234050072817,38010945783648030000,,,124.07110143751498,40986737245521640,133.93674520097056,156133722999920100
98.92640335715129,15589922173717230,,,,,124.06430761102274,17191417695308446,135.8191949708446,99967455323885820
101.54769757938001,48686466881161840,,,,,123.8581297461719,105781156250769020,137.60130798091961,54783543705299496
104.23992190672533,45167301918017420,,,,,127.32291907114916,26170270956732556,137.51779418212632,33153871628437296
106.0949630158893,27156706321060170,,,,,127.45993049649456,255889660430654820,137.6214479712166,23276809021700716
110.92607324497462,26032307485970500,,,,,128.64953417923633,117111008356089120,,
110.33761049456987,52432649922150040,,,,,129.3032090701991,65719535850020360,,
112.32722892233713,12997046665808996,,,,,129.83793300716545,42237607472944240,,
115.32546300687841,24484105453568910,,,,,128.6686563911023,16327889134199732,,
116.69218190173748,14081682128301644,,,,,129.37493450904634,179221373360951360,,
116.44460367087115,40986737245521640,,,,,130.0524826696503,30065366778087330,,
115.52535386158405,9637148512814266,,,,,134.92525755548425,73066708556206990,,
119.2233564387576,22465914582083850,,,,,134.80772591182023,48636453777941310,,
119.87837770099262,37887590339033330,,,,,135.41109532173854,31531726114991744,,
123.14162202220524,14885308896021874,,,,,135.18613427418003,18688801116992090,,
126.35167239210031,11092010772405312,,,,,139.34718518014031,129591255790212030,,
126.90132871230244,19108331556939492,,,,,140.91828312639,70692335977903850,,
128.58645679093482,36063827423902370,,,,,140.66986693843458,25536571458997624,,
133.42019956300874,30911363609906656,,,,,140.55538603897799,14931276039625114,,
139.3690963547425,45904396498413360,,,,,140.65565068807902,46725499438551420,,
143.93911584145997,39301834686130280,,,,,140.88095594696708,10718809977900078,,
144.70809441293446,21351549519894492,,,,,141.58037805236404,157452199917204830,,
146.27467896078227,15304160402462324,,,,,141.39885695826072,106764170198442460,,
147.90729803825846,35485726417403230,,,,,,,,
149.193644440296,18549584675543224,,,,,,,,
